Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
JEANNE D'ARC BLVD N/OR174 IC105 RAMP63 @ TRANS,17334,0.0463,289,4,1548910800000,379342.7316,5037116.5932,45.469997514,-75.5466668255,793
JOCKVALE RD @ LAMING ST/WEYBRIDGE DR W,8722,0.0234,88,0,1551157200000,361915.6749,5015397.4364,45.2762132589,-75.772033612,794
JOCKVALE RD @ LONGFIELDS DR,18066,0.0326,11,0,1551157200000,364829.29,5014001.03,45.263405684,-75.7350702487,795
JOCKVALE RD/RIDEAU VALLEY DR @ PRINCE OF WALES,27156,0.0284,0,0,1547096400000,366709.6969,5012195.3972,45.2469956738,-75.7113361381,796
JOHN QUINN RD @ MITCH OWENS RD,9130,0.0784,0,0,1574658000000,380591.7828,5017701.4688,45.2951787046,-75.5336756212,797
JOHN QUINN RD @ STONE SCHOOL RD,2533,0.0278,0,0,1574312400000,382958.7947,5012030.4213,45.243894508,-75.5043939158,798
JOHN SHAW RD @ KINBURN SIDE RD,1287,0.0943,6,2,1554177600000,330192.5079,5028920.5919,45.3997633804,-76.1756558947,799
JOHN ST @ THOMAS ST,1060,0.0634,163,8,1573102800000,367963.6971,5033899.5926,45.4421740285,-75.6925915838,800
JOHN SUTHERLAND DR @ RICHMOND RD,26720,0.0288,8,5,1547614800000,358786.6649,5022150.494,45.3372250954,-75.8111757742,801
JOHNSTON RD @ 65M W OF ALLANFORD AVE E,6921,0.0308,85,6,1576040400000,373023.4503,5025868.6809,45.3694400999,-75.6290322555,802
JOHNSTON RD @ TAPIOLA CRES E,7692,0.0268,130,26,1557892800000,372254.7284,5025674.5186,45.367767509,-75.6388714556,803
JOHNSTON RD @ TAPIOLA CRES W,9721,0.0249,62,6,1553054400000,371570.7365,5025266.5192,45.3641619679,-75.6476574704,804
JOHNSTON RD @ ZAIDAN DR,8588,0.021,78,47,1570680000000,372796.5687,5025722.0431,45.3681427592,-75.6319485645,805
JOSHUA ST @ RENAUD RD,12524,0.026,94,2,1568088000000,381156.426,5032327.4129,45.4267123273,-75.5242179886,806
KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,12372,0.0336,106,4,1550638800000,350286.5926,5019728.8245,45.3160368747,-75.9198458863,807
KARSH DR @ FARDON WAY/TOPLEY CRES E,1564,0.0776,69,7,1570680000000,374094.7386,5026248.524,45.3727526613,-75.6153041036,808
KATIMAVIK RD @ CURRAN ST/DAVIS AVE,8464,0.059,54,1,1550638800000,351461.6069,5018494.4554,45.3048526101,-75.9049763222,809
KATIMAVIK RD @ MCGIBBON DR/SEWELL WAY,8990,0.0476,137,0,1550638800000,351725.6108,5018738.4589,45.3070306272,-75.9015868564,810
KATIMAVIK RD @ MCGIBBON DR/SEWELL WAY,8293,0.0413,133,11,1556683200000,351725.6108,5018738.4589,45.3070306272,-75.9015868564,811
KELLY FARM DR @ LEITRIM RD,16898,0.0677,0,0,1576558800000,374359.7325,5020969.7161,45.3252298468,-75.612663788,812
KENASTON ST @ MICHAEL ST,5223,0.0784,10,11,1569902400000,372955.7365,5031116.574,45.4166649427,-75.629171696,813
KENDER AVE @ OGILVIE RD,4049,0.013,283,109,1567051200000,375256.7206,5035525.5996,45.4561068969,-75.5991444966,814
KENDER AVE @ OGILVIE RD,4904,0.0254,343,32,1556078400000,375256.7206,5035525.5996,45.4561068969,-75.5991444966,815
KENNEVALE DR @ MERNER AVE,4671,0.0347,40,1,1553054400000,361961.6675,5014350.4353,45.2667885342,-75.7715679909,816
KENT ST @ MACLAREN ST,16745,0.0264,1411,23,1551762000000,367572.7103,5030742.5678,45.4138033924,-75.6979913858,817
KENT ST @ QUEEN ST,23534,0.0446,14655,107,1575349200000,367179.6944,5031386.58,45.4196331626,-75.7029306964,818
KENT ST @ SLATER ST,29308,0.0387,15701,76,1575349200000,367261.7074,5031252.5871,45.418420219,-75.7018998468,819
KILBORN AVE @ FEATHERSTON DR/ROSEGLEN PRIV,7347,0.0277,332,175,1570507200000,371263.7258,5027849.5285,45.38743214,-75.6512284605,820
KILBORN AVE @ KILBORN PL/LAMIRA ST,9566,0.0262,357,35,1575954000000,369744.7236,5027678.532,45.3860360645,-75.6706472317,821
KIMPTON DR @ OVERLAND DR,1687,0.0204,57,27,1565236800000,349048.3159,5015120.3611,45.2746475652,-75.9360497676,822
KINBURN SIDE RD @ LIMESTONE RD,1367,0.0935,0,0,1554177600000,333269.5516,5031635.5941,45.4240756702,-76.1361960718,823
KINBURN SIDE RD @ MOHRS RD,1374,0.0823,0,0,1554177600000,328149.4818,5027102.5964,45.3834752962,-76.2018375778,824
KINBURN SIDE RD @ TORBOLTON RIDGE RD,1386,0.0969,0,0,1554177600000,335803.5837,5033865.6294,45.4440345264,-76.1036747423,825
KING EDWARD AVE @ OSGOODE ST/THOMAS MORE PRIV,19613,0.0531,5994,30,1547010000000,368849.7068,5031852.575,45.423675125,-75.6815333494,826
KING EDWARD AVE @ TEMPLETON ST,19728,0.0496,5535,15,1547010000000,369059.709,5031507.5817,45.4205517425,-75.678895089,827
KING EDWARD AVE @ WILBROD ST,16791,0.0214,2776,34,1547010000000,368675.7085,5032139.5827,45.4262734265,-75.6837193609,828
KINGSMERE AVE @ LENESTER AVE,2927,0.0224,105,49,1571716800000,362414.69,5025767.5275,45.3694823549,-75.7644674599,829
BYRON AVE @ KENSINGTON AVE,7462,0.0101,51,61,1573102800000,364100.6876,5028533.5546,45.3942299809,-75.7426129408,830
BYRON AVE @ REDWOOD AVE,3148,0.0165,337,262,1560398400000,361998.686,5027178.5338,45.3822125228,-75.7696144711,831
BYRON AVE @ ROOSEVELT AVE,6891,0.0156,575,15,1551243600000,363035.6894,5028061.549,45.3900723276,-75.7562696197,832
BYRON AVE @ TWEEDSMUIR AVE,7516,0.0114,164,11,1551243600000,363592.6901,5028304.5525,45.3922122949,-75.7491277989,833
BYRON AVE @ WINDERMERE AVE,2837,0.0108,204,279,1560398400000,362316.9449,5027481.2389,45.3849101684,-75.7655156016,834
CADBORO RD @ OGILVIE RD,30587,0.021,431,42,1547010000000,373600.7221,5032664.5634,45.4305298467,-75.6207154611,835
CAHILL DR @ PLANTE DR,949,0.1209,339,91,1570680000000,370634.7338,5024123.5088,45.353966049,-75.6597566833,836
CAHILL DR @ ROSEGARDEN CRES W,2220,0.0709,68,16,1555473600000,372044.7262,5024864.5104,45.3604995274,-75.6416622734,837
CAHILL DR @ SOUTHPORT DR,3417,0.0547,121,6,1555473600000,372322.3893,5024686.2531,45.3588689452,-75.6381428285,838
CAMBIE RD / MOUNT NEBO WAY @ RALPH HENNESSY AVE,3346,0.1666,26,0,1553745600000,369105.3462,5014958.4288,45.2716423402,-75.6804635875,839
CAMBRIAN RD @ KILBIRNIE DR/TUCANA WAY,11417,0.0338,225,1,1551157200000,365113.84,5013068.72,45.2549924131,-75.7315578371,840
CAMBRIAN RD @ RIVER MIST RD,11051,0.0526,436,14,1571803200000,364357.19,5012611.71,45.2509446725,-75.7412520156,841
CAMPBELLCROFT RD @ DALMENY RD,2079,0.0858,1,0,1574139600000,384146.8578,5003320.1504,45.165390911,-75.4906493911,842
CAMPEAU DR @ PALLADIUM DR,6809,0.1011,27,1,1574053200000,348542.2286,5017628.8747,45.2972517062,-75.9422784524,843
CANAAN RD @ REGIONAL RD 174,22457,0.0381,0,0,1547528400000,395771.816,5043413.5511,45.5247019699,-75.3354262594,844
CANON SMITH DR @ FITZROY ST,597,0.0412,5,0,1554264000000,327967.5981,5037645.6943,45.4783526008,-76.2036640641,845
CANON SMITH DR @ GALETTA SIDE RD,1625,0.0535,0,4,1554264000000,329165.5839,5036251.6697,45.4657679052,-76.1884100222,846
CANOTEK RD @ SHEFFORD RD,19225,0.0349,134,2,1547701200000,376029.7283,5035093.5979,45.4521416465,-75.5893246814,847
CANYON WALK DR @ EARL ARMSTRONG RD,21146,0.036,34,1,1576645200000,369397.09,5015630.1488,45.2776596451,-75.6766584577,848
CAPITAL DR @ GRENFELL CRES,1752,0.0748,29,31,1570680000000,365826.6979,5020437.4829,45.3212346302,-75.7215699239,849
CARINA CRES W @ HALF MOON BAY,1319,0.0331,20,0,1551157200000,364713.9329,5013178.1329,45.2560110783,-75.7366392979,850
CARLING AVE @ CARLINGWOOD SC,27704,0.0412,343,2,1548133200000,362073.0121,5025919.0285,45.370873552,-75.7688115355,851
CARLING AVE @ CRYSTAL BEACH DR,18255,0.0173,88,150,1563422400000,357016.66,5023789.5066,45.3521070085,-75.8335849591,852
CARLING AVE @ FISHER AVE,35237,0.0263,149,23,1574139600000,365330.6934,5027972.5504,45.3890769411,-75.7269735778,853
CARLING AVE @ HARE AVE,25400,0.0248,59,2,1551243600000,362380.6904,5026133.5329,45.372778428,-75.7648588116,854
CARLING AVE @ LEBRETON ST,25239,0.0233,454,194,1568260800000,367184.7094,5029167.5558,45.399666588,-75.7031474399,855
CARLING AVE @ MAPLECREST AVE,27212,0.0244,59,20,1571889600000,362600.6896,5026252.5244,45.3738309887,-75.7620363578,856
CARLING AVE @ SCHNEIDER RD,12299,0.0223,11,5,1554868800000,351624.6267,5022236.4966,45.3385134996,-75.9025438164,857
CARLING AVE @ TRANSITWAY - LINCOLN FIE,26476,0.046,275,9,1551848400000,361136.68,5025351.523,45.3658430709,-75.7808291851,858
CARLINGWOOD SC @ WOODROFFE AVE,21327,0.028,113,4,1548133200000,361845.6822,5026036.5346,45.3719494028,-75.7716999857,859
CARP RD @ DONALD B. MUNRO DR,5743,0.0331,102,4,1554177600000,341192.5404,5022821.5231,45.344396491,-76.0356033739,860
CARP RD @ GALETTA SIDE RD,2653,0.0513,1,3,1554264000000,328151.5851,5035348.6525,45.4576768549,-76.201419872,861
CARP RD @ JUANITA AVE,3104,0.0243,26,8,1554177600000,340738.5364,5023332.5224,45.3490180693,-76.0413594929,862
CARP RD @ KINBURN SIDE RD,2783,0.0795,0,0,1573621200000,332255.5445,5030755.5991,45.4161976646,-76.1492025572,863
CARP RD @ MCGEE SIDE RD,6605,0.0794,0,4,1554782400000,344196.5535,5019441.4868,45.3138194241,-75.9975402867,864
CARP RD @ RICHARDSON SIDE RD,17824,0.1189,1,2,1574917200000,346209.5557,5017160.4566,45.2931780602,-75.9720582742,865
CARP RD @ ROTHBOURNE RD,22130,0.047,11,4,1556164800000,348253.5717,5014875.436,45.2724932015,-75.946199837,866
CARP RD/HWY 417 CARP IC144R63 @ HWY 417 CARP I,23753,0.0952,0,0,1547701200000,347300.5774,5015926.4474,45.2820088503,-75.9582548693,867
CARRIERE ST @ MICHAELSEM ST,2228,0.0245,47,13,1568088000000,381344.7554,5036794.5821,45.4668837795,-75.5211166431,868
CARSONBY RD @ FIRST LINE RD,1565,0.0806,0,0,1573707600000,369214.7032,5005848.3545,45.1896604535,-75.6802493067,869
CARSONBY RD @ FOURTH LINE RD,1743,0.063,0,0,1571284800000,363611.653,5002525.3136,45.1602486528,-75.7519397311,870
CARSONBY RD @ PRINCE OF WALES DR,4260,0.0396,0,1,1571284800000,366377.6691,5004125.3181,45.174409833,-75.7165630187,871
CARSON'S RD @ CHARLESWOOD AVE,2057,0.0629,536,14,1556078400000,372952.7259,5033972.5897,45.4423622521,-75.6288149025,872
CARTIER ST @ SOMERSET ST,8019,0.0527,3219,192,1574312400000,368315.7024,5031289.5807,45.4186581863,-75.6884290777,873
CARTOGRAPHE ST @ MISHAWASKODE ST,861,0.0324,91,7,1560312000000,385384.4229,5040260.8585,45.4976155205,-75.4688952691,874
CASSIDY RD @ GRANGEMILL AVE,3750,0.031,0,1,1556683200000,358932.6621,5021271.4835,45.3293044712,-75.8094092482,875
CASSON WAY @ VARLEY DR,3531,0.0274,125,16,1554868800000,351146.6201,5021664.4914,45.3333982138,-75.9086961574,876
CASTOR RD @ GREGOIRE RD,1079,0.0726,0,0,1574053200000,394110.8272,5007047.3302,45.1977345738,-75.3632567555,877
CATHCART ST @ KING EDWARD AVE NB,44740,0.0726,196,16,1574312400000,368093.703,5033120.5921,45.435153109,-75.6910300832,878
CATHCART ST @ KING EDWARD AVE SB/MACDONALD-CAR,44899,0.0718,453,23,1574312400000,368087.3751,5033096.6501,45.4349382603,-75.6911140311,879
CAVAN ST @ CHATELAIN AVE,1828,0.1733,44,2,1550638800000,364568.7055,5026597.5377,45.3767702652,-75.7368703902,880
CEDARHILL DR N @ CEDARVIEW RD,8061,0.0136,0,0,1551848400000,360636.674,5017192.4497,45.2924676669,-75.7881318227,881
CEDAROW CRT @ HAZELDEAN RD,25110,0.0369,54,51,1564632000000,350593.6033,5015763.4417,45.2803352684,-75.9162965719,882
CEDARVIEW RD @ WEST HUNT CLUB RD,50303,0.0298,0,3,1547528400000,359718.6774,5019554.4777,45.3137937108,-75.7995729046,883
CEDARVIEW RD @ WOODSIA AVE,8258,0.0093,2,1,1551157200000,361086.6694,5016142.4383,45.282983697,-75.7825143562,884
CENTREPOINTE DR @ PASEO PRIV,12312,0.0155,274,10,1552968000000,362512.5921,5022862.4619,45.3433347595,-75.7635568612,885
CENTURY RD @ MALAKOFF RD,1510,0.0923,0,0,1573707600000,360006.6262,5002789.3091,45.1629152893,-75.7977614536,886
CENTURY RD @ PRINCE OF WALES DR,5482,0.0451,0,1,1571198400000,365690.6831,5006091.908,45.1921650477,-75.7250625136,887
CENTURY RD E @ SECOND LINE RD E,1307,0.0728,1,2,1571198400000,365983.9241,5006391.877,45.194838813,-75.7212940573,888
CHAMBERLAIN AVE @ GLENDALE AVE,12671,0.036,61,8,1555473600000,367716.7094,5029919.5684,45.4063853664,-75.6962568202,889
CHAMBERLAIN AVE @ PERCY ST,12853,0.0367,524,265,1555473600000,367558.7129,5029824.5592,45.4055446861,-75.698287075,890
CHAPEL ST @ SOMERSET ST,3633,0.0591,1609,143,1573621200000,369338.7084,5031905.5801,45.4241071006,-75.6752782896,891
CHAPEL ST @ STEWART ST,3039,0.0232,957,125,1574312400000,369013.7081,5032438.5916,45.4289328486,-75.6793614543,892
CHAPMAN BLVD @ OTHELLO AVE,3329,0.0525,177,37,1568865600000,373351.7301,5028988.5485,45.3974792866,-75.6244085455,893
CHARLEMAGNE BLVD @ PRINCESS LOUISE DR W/VALADE,13790,0.0346,146,1,1547528400000,383520.7527,5037973.576,45.4772494461,-75.4931045432,894
CHARLES ST @ CRICHTON ST,1526,0.073,88,11,1573102800000,368053.6945,5033903.593,45.4422018854,-75.6914407667,895
CHARLOTTE ST @ RIDEAU ST,10868,0.0333,464,13,1575522000000,369249.709,5032859.5922,45.4326991417,-75.6762906201,896
CHEVRIER ST @ TRENT ST,1540,0.0106,44,18,1575435600000,365643.7007,5026845.5416,45.3789092305,-75.7231155003,897
CHRISTCRAFT WAY S @ TRESTLE ST,967,0.0729,82,2,1571803200000,369635.96,5008882.3981,45.2169220826,-75.6744941395,898
CHURCHILL AVE @ DOVERCOURT AVE,12363,0.0477,458,179,1571889600000,363603.6934,5027423.5474,45.3842842301,-75.7490922559,899
CHURCHILL AVE @ LANARK AVE,2684,0.0483,122,62,1571889600000,362985.6963,5028799.5603,45.3967169947,-75.7568209946,900
CHURCHILL AVE @ RAVENHILL AVE,10756,0.0376,417,218,1572321600000,363311.6947,5028094.5522,45.3903462802,-75.7527411322,901
CHURCHILL AVE @ RICHMOND RD,22142,0.0306,2839,391,1564632000000,363227.6938,5028292.5513,45.392134858,-75.7537903799,902
CHURCHILL AVE @ SCOTT ST,10534,0.0502,698,614,1565668800000,363094.6896,5028584.5495,45.3947732962,-75.7554543989,903
CHURCHILL AVE @ WORKMAN AVE,4036,0.041,153,83,1571889600000,363064.6905,5028627.5437,45.395162648,-75.7558324402,904
CLARE ST @ EVERED AVE W,2532,0.0654,217,259,1571889600000,363617.9877,5027795.1433,45.3876265909,-75.7488654553,905
CLAYMOR AVE @ MEADOWLANDS DR,14286,0.0196,332,6,1547701200000,366920.7054,5025322.5246,45.365093405,-75.7070031276,906
CLAYMOR AVE @ MEADOWLANDS DR,10968,0.0315,725,151,1569988800000,366920.7054,5025322.5246,45.365093405,-75.7070031276,907
CLAYMOR AVE @ NORMANDY CRES,790,0.0685,33,3,1573621200000,367122.4449,5025058.786,45.3627024348,-75.7044613502,908
CLEARVIEW AVE @ ISLAND PARK DR,16418,0.0103,138,478,1563422400000,363546.6893,5029364.5648,45.4017539607,-75.7495890103,909
CLEGG ST @ COLONEL BY DR,13954,0.0045,237,678,1565236800000,368968.1362,5029741.8612,45.4046728113,-75.6802949527,910
